"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.11.2009","1,7555","1,7635","1,7805","1,6930","","-0,45%"
"01.10.2009","1,7635","1,7720","1,8074","1,6970","","-0,45%"
"01.09.2009","1,7715","1,8790","1,9217","1,7588","","-5,78%"
"01.08.2009","1,8802","1,8655","1,9052","1,8071","","0,82%"
"01.07.2009","1,8650","1,9525","2,0280","1,8610","","-4,48%"
"01.06.2009","1,9525","1,9715","2,0383","1,9083","","-0,96%"
"01.05.2009","1,9715","2,1898","2,1898","1,9650","","-9,97%"
"01.04.2009","2,1898","2,3170","2,3175","2,1585","","-5,49%"
"01.03.2009","2,3169","2,3905","2,4505","2,2150","","-3,12%"
"01.02.2009","2,3914","2,3222","2,4085","2,2277","","3,08%"
"01.01.2009","2,3200","2,3317","2,4010","2,1585","","0,24%"
"01.12.2008","2,3145","2,3045","2,6218","2,2834","","0,48%"
"01.11.2008","2,3034","2,1647","2,4787","2,0877","","6,43%"
"01.10.2008","2,1642","1,9035","2,5305","1,8951","","13,51%"
"01.09.2008","1,9066","1,6422","1,9687","1,6398","","16,97%"
"01.08.2008","1,6300","1,5610","1,6493","1,5551","","4,02%"
"01.07.2008","1,5670","1,6039","1,6211","1,5604","","-2,31%"
"01.06.2008","1,6041","1,6260","1,6522","1,5880","","-1,38%"
"01.05.2008","1,6265","1,6617","1,7055","1,6241","","-2,15%"
"01.04.2008","1,6622","1,7559","1,7605","1,6471","","-5,36%"
"01.03.2008","1,7564","1,6910","1,7651","1,6590","","3,84%"
"01.02.2008","1,6914","1,7590","1,7820","1,6612","","-3,83%"
"01.01.2008","1,7588","1,7795","1,8407","1,7285","","-1,19%"
